"","treatment","season","otu","avgAbund","Domain","Phylum","Class","Order","Family","Genus"
"1","PI","f","Otu00002",1.27200370632125,"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Gp6_unclassified","Gp6_unclassified"
"2","PI","f","Otu00003",1.79720759281011,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"3","PI","f","Otu00004",0.811963019003903,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"4","PI","f","Otu00005",1.18542985336962,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","Methylocystis"
"5","PI","f","Otu00006",1.02318145483613,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium"
"6","PI","f","Otu00008",1.0951239008793,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"7","PI","f","Otu00009",0.7733066017471,"Archaea","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Nitrososphaera_unclassified"
"8","PI","f","Otu00011",0.647482014388489,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"9","PI","f","Otu00014",0.575226181168323,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"10","PI","f","Otu00015",0.79478734068452,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"11","PI","f","Otu00016",0.599747165296915,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodomicrobium"
"12","PI","f","Otu00017",0.775379696243006,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"13","PI","f","Otu00018",0.819051226209639,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"14","PI","f","Otu00019",0.601460690247744,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"15","PI","f","Otu00020",0.88773513110622,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"16","PI","f","Otu00021",0.873787346420311,"Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"17","PI","f","Otu00022",0.587140197622798,"Bacteria","Verrucomicrobia","Subdivision3","Subdivision3_unclassified","Subdivision3_unclassified","Subdivision3_unclassified"
"18","PI","f","Otu00023",0.551558752997602,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
