month,date,season,label,plot,rep,nh4.uM.l,nh4.mg.l,no3.no2.uM.l,no3.no2.mg.l,DKN.uM.l,"DKN,mg.l",pn.uM.l,pn.mg.l,po4.uM.l,po4.mg.l,tdp.uM.l,tdp.mg.l,pp.uM.l,pp.mg.l,cl.uM.l,cl.mg.l
1,1/17/2017,w,CSW_001,5-South Inlet,A,138.593,1.941272151,NA,NA,NA,NA,NA,0.686910101,0.421,0.013040054,1.951,0.060430274,NA,0.778300429,1108.64,39.30461392
1,1/17/2017,w,CSW_002,1-East Inlet,A,32.552,0.455955864,281.376,3.941233632,NA,NA,NA,1.09084395,0.379,0.011739146,0.17,0.00526558,NA,0.732256588,9526.91,337.7575402
1,1/17/2017,w,CSW_003,1-East Inlet,B,0.172,0.002409204,289.475,4.054676325,NA,NA,NA,1.273722183,0.432,0.013380768,0.447,0.013845378,NA,1.432296471,9204.6,326.3306838
1,1/17/2017,w,CSW_004,3-Pond 2,A,NA,NA,28.324,0.396734268,NA,NA,NA,0.413408746,0.462,0.014309988,0.567,0.017562258,NA,0.560226786,7016.73,248.7641287
1,1/17/2017,w,CSW_005,2-Pond 1,A,NA,NA,36.837,0.515975859,NA,NA,NA,0.261984424,0.477,0.014774598,0.548,0.016973752,NA,0.661066932,7799.37,276.5110646
1,1/17/2017,w,CSW_006,2-Pond 1,B,2.624,0.036754368,42.654,0.597454578,NA,NA,NA,0.105342353,0.326,0.010097524,1.619,0.050146906,NA,0.32845778,10275.98,364.3143189
1,1/17/2017,w,CSW_007,4-Outlet,A,14095.88,197.4409912,7.797,0.109212579,NA,NA,NA,0.283711415,0.288,0.008920512,NA,NA,NA,0.232516688,4679.78,165.9122403
1,1/17/2017,w,CSW_008,4-Outlet,B,1.782,0.024960474,14.297,0.200258079,NA,NA,NA,0.32581666,0.417,0.012916158,1.314,0.040699836,NA,2.508814025,7751.54,274.8153476
1,1/17/2017,w,CSW_009,5-South Inlet,B,47.6,0.6667332,1.612,0.022579284,NA,NA,NA,0.331658116,1.33,0.04119542,0.272,0.008424928,NA,0.410233248,1062.53,37.66987609
2,2/14/2017,w,CSW_010,1-East Inlet,A,0.74,0.01036518,136.108,1.906464756,NA,NA,NA,0.089733871,0.175,0.00542045,3.363,0.104165562,NA,1.106086219,1249.97,44.31518641
2,2/14/2017,w,CSW_011,1-East Inlet,B,NA,NA,69.44,0.97264608,NA,NA,NA,0.092750873,0.054,0.001672596,3.381,0.104723094,NA,1.674003469,1628.31,57.72847443
2,2/14/2017,w,CSW_012,4-Outlet,A,6092.939,85.34379657,NA,NA,NA,NA,NA,0.724531894,0.251,0.007774474,0.807,0.024996018,NA,1.641635805,3261.91,115.6444952
2,2/14/2017,w,CSW_013,4-Outlet,B,2.134,0.029890938,NA,NA,NA,NA,NA,0.068558836,0.258,0.007991292,NA,NA,NA,1.351245542,3122.22,110.6920657
2,2/14/2017,w,CSW_014,2-Pond 1,A,NA,NA,NA,NA,NA,NA,NA,0.185822979,0.56,0.01734544,7.912,0.245066288,NA,0.282452419,1757.58,62.31148374
2,2/14/2017,w,CSW_015,2-Pond 1,B,0.51,0.00714357,NA,NA,NA,NA,NA,0.106040523,0.703,0.021774722,0.17,0.00526558,NA,1.111099755,2261.8,80.1875954
2,2/14/2017,w,CSW_016,3-Pond 2,A,1.858,0.026025006,NA,NA,NA,NA,NA,0.450030148,0.439,0.013597586,0.041,0.001269934,NA,0.297625856,2497.57,88.54634921
2,2/14/2017,w,CSW_017,3-Pond 2,B,NA,NA,NA,NA,NA,NA,NA,0.124596371,0.462,0.014309988,0.124,0.003840776,NA,0.299840187,2186.61,77.52188433
2,2/14/2017,w,CSW_018,5-South Inlet,A,97.947,1.371943629,NA,NA,NA,NA,NA,0.134620114,0.575,0.01781005,0.419,0.012978106,NA,0.374390333,1028.99,36.48078247
2,2/14/2017,w,CSW_019,5-South Inlet,B,NA,NA,NA,NA,NA,NA,NA,0.76922932,0.447,0.013845378,1.038,0.032151012,NA,0.31287126,1069.92,37.93187376
