,treatment,season,otu,avgAbund,Domain,Phylum,Class,,Order,Family,Genus
1,PI,f,Otu00002,1.272003706,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
2,PI,f,Otu00003,1.797207593,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
3,PI,f,Otu00004,0.811963019,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
4,PI,f,Otu00005,1.185429853,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Methylocystaceae,Methylocystis
5,PI,f,Otu00006,1.023181455,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
6,PI,f,Otu00008,1.095123901,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
7,PI,f,Otu00009,0.773306602,Archaea,Thaumarchaeota,Nitrososphaerales,,Nitrososphaeraceae,Nitrososphaera,Nitrososphaera
8,PI,f,Otu00011,0.647482014,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
9,PI,f,Otu00014,0.575226181,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
10,PI,f,Otu00015,0.794787341,Bacteria,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter
11,PI,f,Otu00016,0.599747165,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium
12,PI,f,Otu00017,0.775379696,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
13,PI,f,Otu00018,0.819051226,Bacteria,Proteobacteria,Betaproteobacteria,,Burkholderiales,Comamonadaceae,Comamonadaceae
14,PI,f,Otu00019,0.60146069,Bacteria,Proteobacteria,Betaproteobacteria,,Betaproteobacteria,Betaproteobacteria,Betaproteobacteria
15,PI,f,Otu00020,0.887735131,Bacteria,Proteobacteria,Deltaproteobacteria,,Desulfuromonadales,Geobacteraceae,Geobacter
16,PI,f,Otu00021,0.873787346,Bacteria,Bacteroidetes,Bacteroidetes,,Bacteroidetes,Bacteroidetes,Bacteroidetes
17,PI,f,Otu00022,0.587140198,Bacteria,Verrucomicrobia,Subdivision3,,Subdivision3,Subdivision3,Subdivision3
18,PI,f,Otu00023,0.551558753,Bacteria,Proteobacteria,Alphaproteobacteria,,Rhizobiales,Rhizobiales,Rhizobiales
19,PI,f,Otu00026,0.588118614,Bacteria,Firmicutes,Bacilli,,Bacillales,Bacillales,Bacillales
20,PI,f,Otu00027,0.615507594,Bacteria,Acidobacteria,Acidobacteria_Gp6,,Gp6,Gp6,Gp6
21,PI,f,Otu00028,0.735411671,Archaea,Euryarchaeota,Methanobacteria,,Methanobacteriales,Methanobacteriaceae,Methanobacterium
22,PI,f,Otu00037,0.641627606,Bacteria,Proteobacteria,Deltaproteobacteria,,Syntrophobacterales,Syntrophaceae,Syntrophaceae
23,PI,f,Otu00042,1.646211509,Bacteria,Proteobacteria,Proteobacteria_unclassified,,Proteobacteria,Proteobacteria,Proteobacteria
24,PI,f,Otu00083,0.654075108,Bacteria,Proteobacteria,Deltaproteobacteria,,Myxococcales,Cystobacteraceae,Anaeromyxobacter
25,PI,f,Otu00137,0.573234365,Bacteria,Chloroflexi,Chloroflexi,,Chloroflexi,Chloroflexi,Chloroflexi
26,PI,f,Otu00232,0.808407437,Bacteria,Proteobacteria,Deltaproteobacteria,,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria
27,PI,f,Otu00314,1.506577497,Archaea,Euryarchaeota,Methanomicrobia,,Methanomicrobia,Methanomicrobia,Methanomicrobia
28,PI,f,Otu00464,0.752769624,Bacteria,Bacteroidetes,Bacteroidetes,,Bacteroidetes,Bacteroidetes,Bacteroidetes
